year,democrat,republic,other,codecounty
2000,2697,6872,192,18027
2000,4776,8701,308,18033
2000,6020,11452,178,18029
2000,2889,6115,167,18031
2000,20876,22105,1166,18035
2000,5090,10134,280,18037
2000,16402,36756,1324,18039
2000,3415,5060,172,18041
2000,13209,16486,335,18043
2000,2717,4408,156,18045
2000,2591,5587,161,18047
2000,2960,5218,149,18049
2000,5802,7734,236,18051
2000,9712,16153,521,18053
2000,4898,7452,269,18055
2000,18002,56372,1552,18057
2000,6503,15943,504,18059
2000,5870,8711,315,18061
2000,10786,28651,784,18063
2000,7647,10321,347,18065
2000,12899,20331,865,18067
2000,4119,10113,388,18069
2000,5330,9054,218,18071
2000,3744,7212,211,18073
2000,3167,4687,176,18075
2000,5117,6582,232,18077
2000,3549,5732,213,18079
2000,11952,29404,928,18081
2000,6300,8485,269,18083
2000,5785,19040,459,18085
2000,2733,5437,163,18087
2000,19736,18994,1017,18091
2000,109078,63389,3527,18089
2000,5071,10677,394,18093
2000,23403,27956,857,18095
2000,134189,137810,7904,18097
2000,5541,10266,343,18099
2000,1518,3008,83,18101
2000,4155,8401,372,18103
2000,17523,19147,3550,18105
2000,3899,8891,311,18107
2000,6228,15286,522,18109
2000,2101,3250,159,18111
2000,4822,9103,291,18113
2000,951,1515,26,18115
2000,2601,4687,170,18117
2000,2253,4019,231,18119
2000,2481,3841,125,18121
2000,3823,3461,103,18123
2000,2605,3566,131,18125
2000,26790,31157,1431,18127
2000,4430,6498,182,18129
2000,1919,3497,102,18131
2000,4123,7352,396,18133
2000,3906,6020,206,18135
2000,3498,6988,189,18137
2000,2370,4749,165,18139
2000,3915,3761,170,18143
2000,5374,9590,346,18145
2000,3752,5096,139,18147
2000,47703,47581,2190,18141
2000,4136,4349,216,18149
2000,4103,6953,221,18151
2000,3833,4319,110,18153
2000,1336,1831,72,18155
2000,18220,26106,1969,18157
2000,2392,4784,140,18159
2000,927,1838,63,18161
2000,29222,35846,1153,18163
2000,3370,3130,133,18165
2000,17570,18021,637,18167
2000,4277,8321,285,18169
2000,1471,2218,79,18171
2000,8749,13205,355,18173
2000,3675,5868,258,18175
2000,10273,14273,605,18177
2000,3319,7755,207,18179
2000,3655,6037,212,18181
2000,4107,8080,245,18183
2000,1753,2275,95,19001
2000,897,1170,78,19003
2000,2883,3277,302,19005
2000,2560,2992,152,19007
2000,1780,1909,95,19009
2000,5915,5468,383,19011
2000,30112,23468,1505,19013
2000,6270,5625,354,19015
2000,5169,5675,331,19017
2000,5045,4092,273,19019
2000,3297,4354,326,19021
2000,2735,3837,152,19023
2000,2132,2776,133,19025
2000,4463,4879,226,19027
2000,2481,4206,193,19029
2000,4033,4031,280,19031
2000,12185,9397,580,19033
2000,2845,3463,284,19035
2000,3435,2936,213,19037
2000,2081,1984,111,19039
2000,3294,3992,292,19041
2000,4238,4034,299,19043
2000,12276,9229,675,19045
2000,2838,3482,235,19047
2000,8561,10306,463,19049
2000,1691,1956,111,19051
2000,1674,1903,132,19053
2000,3808,4273,268,19055
2000,11351,7385,629,19057
2000,3660,4225,236,19059
2000,22341,16462,1520,19061
2000,2165,2331,134,19063
2000,4640,4747,234,19065
2000,3830,3191,217,19067
2000,2122,2657,159,19069
2000,1459,2069,88,19071
2000,2301,2282,136,19073
2000,2139,3851,121,19075
2000,2493,2840,136,19077
2000,3407,3968,199,19079
2000,2281,2988,169,19081
2000,3734,4486,215,19083
2000,2551,3802,190,19085
2000,3907,4476,288,19087
2000,2426,1922,143,19089
2000,1949,2846,145,19091
2000,1411,1968,112,19093
2000,3230,3894,289,19095
2000,4945,3769,318,19097
2000,8699,8729,407,19099
2000,2863,3248,1437,19101
2000,31174,17899,3696,19103
2000,4690,4201,252,19105
2000,2181,2571,195,19107
2000,3960,4612,306,19109
2000,9632,6339,601,19111
2000,48897,40417,2750,19113
2000,2294,2207,136,19115
2000,1934,2262,107,19117
2000,1313,3918,111,19119
2000,3093,3662,214,19121
2000,3370,5971,202,19123
2000,5741,8358,309,19125
2000,8322,8785,517,19127
2000,2039,3684,192,19129
2000,2650,2388,124,19131
2000,2086,2304,170,19133
2000,1699,1858,90,19135
2000,1838,3417,139,19137
2000,8058,7483,535,19139
2000,2170,4674,200,19141
2000,913,2064,86,19143
2000,2293,4588,178,19145
2000,2326,2341,156,19147
2000,3499,6189,430,19149
2000,1736,2242,163,19151
2000,89715,79927,4525,19153
2000,14726,18783,958,19155
2000,4222,4396,362,19157
2000,1246,1369,77,19159
2000,2099,2776,158,19161
2000,35857,32801,1910,19163
2000,2179,3655,175,19165
2000,2148,12241,303,19167
2000,17478,16228,1658,19169
2000,4045,4034,236,19171
2000,1247,1770,79,19173
2000,2540,3003,197,19175
2000,1440,2016,105,19177
2000,8355,6313,471,19179
2000,9521,9621,511,19181
2000,3932,4827,335,19183
2000,1300,1666,55,19185
2000,8479,8172,397,19187
2000,2691,2662,174,19189
2000,4339,4647,431,19191
2000,17691,18864,1341,19193
2000,2208,1659,137,19195
2000,2796,3384,156,19197
2000,2132,3379,255,20001
